strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k,net_excess_return_bps
"MAc(3,7,0.01,2,1)",3.0,7.0,0.01,2,1.0,True,-0.0178739139778208,0.3187085931694447,-0.2091435170109755,851,1.7160521912121325,2.8433939062298514,10.082562815582447,,,,,-0.04485894695600447
"MAc(5,7,0.01,2,0)",5.0,7.0,0.01,2,0.0,True,-0.0197029408152222,0.2976501079686589,-0.2302020022117613,100,1.600691993426238,2.8433939062298514,80.03459967131191,,,,,-0.02287392001359866
"MAc(5,7,0.01,0,0)",5.0,7.0,0.01,0,0.0,True,-0.0197029408152222,0.2976501079686589,-0.2302020022117613,100,1.600691993426238,2.8433939062298514,80.03459967131191,,,,,-0.02287392001359866
"MAc(5,7,0.01,1,0)",5.0,7.0,0.01,1,0.0,True,-0.0197029408152222,0.2976501079686589,-0.2302020022117613,100,1.600691993426238,2.8433939062298514,80.03459967131191,,,,,-0.02287392001359866
"MAc(5,7,0.01,0,2)",5.0,7.0,0.01,0,2.0,True,-0.0200188636283684,0.293980658565487,-0.2338714516149332,100,1.5807661413477567,2.8433939062298514,79.03830706738785,,,,,-0.02318984282674486
"MAc(5,7,0.01,2,2)",5.0,7.0,0.01,2,2.0,True,-0.0200188636283684,0.293980658565487,-0.2338714516149332,100,1.5807661413477567,2.8433939062298514,79.03830706738785,,,,,-0.02318984282674486
"MAc(5,7,0.01,1,2)",5.0,7.0,0.01,1,2.0,True,-0.0200188636283684,0.293980658565487,-0.2338714516149332,100,1.5807661413477567,2.8433939062298514,79.03830706738785,,,,,-0.02318984282674486
"OBV(7,10,0.1,2,1)",7.0,10.0,0.1,2,1.0,False,-0.0205423594299439,0.2873261846710366,-0.2405259255093835,722,1.5477482665003712,2.8433939062298514,10.718478299864069,,,,,-0.04343682924222193
"OBV(7,10,0.1,1,1)",7.0,10.0,0.1,1,1.0,False,-0.0205723128034686,0.2869754676234506,-0.2408766425569696,722,1.5458590503207572,2.8433939062298514,10.705395085323804,,,,,-0.04346678261574663
"OBV(7,10,0.1,0,1)",7.0,10.0,0.1,0,1.0,False,-0.0205723128034686,0.2869754676234506,-0.2408766425569696,722,1.5458590503207572,2.8433939062298514,10.705395085323804,,,,,-0.04346678261574663
"MA(5,10,0.01,1,2)",5.0,10.0,0.01,1,2.0,False,-0.0206363893413663,0.2863943467411949,-0.2414577634392253,647,1.5418176213301265,2.8433939062298514,11.91512844922818,,,,,-0.04115262475486199
"MA(5,10,0.01,0,2)",5.0,10.0,0.01,0,2.0,False,-0.0206363893413663,0.2863943467411949,-0.2414577634392253,647,1.5418176213301265,2.8433939062298514,11.91512844922818,,,,,-0.04115262475486199
"MA(5,10,0.01,2,2)",5.0,10.0,0.01,2,2.0,False,-0.0206363893413663,0.2863943467411949,-0.2414577634392253,647,1.5418176213301265,2.8433939062298514,11.91512844922818,,,,,-0.04115262475486199
"OBV(3,7,0.5,2,0)",3.0,7.0,0.5,2,0.0,False,-0.020765084062005,0.2847183540506784,-0.2431337561297418,372,1.5337006007794736,2.8433939062298514,20.61425538682088,,,,,-0.03256112667996543
"OBV(2,5,0.5,1,0)",2.0,5.0,0.5,1,0.0,False,-0.0208241549240684,0.2840267071530518,-0.2438254030273684,430,1.5299748892745002,2.8433939062298514,17.790405689238376,,,,,-0.034459365477087174
"OBV(3,10,0.5,0,0)",3.0,10.0,0.5,0,0.0,False,-0.020835294392373,0.28389627772644,-0.2439558324539801,390,1.5292723018435408,2.8433939062298514,19.606055151840263,,,,,-0.03320211326604119
"OBV(3,10,0.5,2,0)",3.0,10.0,0.5,2,0.0,False,-0.0210074109736383,0.281881004986637,-0.2459711051937832,386,1.51841658204163,2.8433939062298514,19.66860857566878,,,,,-0.03324739067937143
"OBV(3,10,0.5,1,1)",3.0,10.0,0.5,1,1.0,False,-0.0211907200047907,0.2797346825083351,-0.2481174276720851,362,1.5068549331596903,2.8433939062298514,20.812913441432187,,,,,-0.03266966470291348
"OBV(3,10,0.5,0,1)",3.0,10.0,0.5,0,1.0,False,-0.0211907200047907,0.2797346825083351,-0.2481174276720851,362,1.5068549331596903,2.8433939062298514,20.812913441432187,,,,,-0.03266966470291348
"OBV(3,10,0.5,2,1)",3.0,10.0,0.5,2,1.0,False,-0.0212075769454601,0.2795373085431389,-0.2483148016372813,362,1.5057917338834856,2.8433939062298514,20.798228368556437,,,,,-0.03268652164358288
"OBV(3,10,0.5,1,0)",3.0,10.0,0.5,1,0.0,False,-0.0212164592348796,0.2794333078994256,-0.2484188022809945,386,1.505231511013444,2.8433939062298514,19.497817500174147,,,,,-0.03345643894061273
"OBV(3,7,0.5,1,0)",3.0,7.0,0.5,1,0.0,False,-0.0212886216281556,0.2785883753634853,-0.2492637348169348,374,1.5006800917609782,2.8433939062298514,20.06256807167083,,,,,-0.03314808383008356
"OBV(2,5,0.5,2,0)",2.0,5.0,0.5,2,0.0,False,-0.0213327544319326,0.2780716347189663,-0.2497804754614539,412,1.4978965519744385,2.8433939062298514,18.17835621328202,,,,,-0.03439718872924361
"OBV(2,5,0.5,0,0)",2.0,5.0,0.5,0,0.0,False,-0.0216459570316115,0.2744044190268854,-0.2534476911535347,438,1.478142268927752,2.8433939062298514,16.873770193239178,,,,,-0.03553484592050039
"OBV(3,7,0.5,0,0)",3.0,7.0,0.5,0,0.0,False,-0.0218261972182475,0.2722940290541603,-0.2555580811262599,380,1.466774177900264,2.8433939062298514,19.29966023552979,,,,,-0.033875918172078044
