strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"SRc(5,0.00025,2,0)",,,0.00025,2,0.0,True,0.33473671060992655,4.44761978105431,3.9197676708738896,69977,23.955874244148074,2.8433939062298514,1.7116962890769878,5.0,,,
"BB(7,0.25,1,0)",,,,1,0.0,False,0.3344859556659562,4.4446829248474735,3.9168308146670534,110345,23.940058653397468,2.8433939062298514,1.0847822127598654,7.0,,,0.25
"RSI(3,10,0,0)",,,,0,0.0,False,0.3340442361244704,4.4395083404163715,3.9116562302359514,143154,23.912198562648832,2.8433939062298514,0.8351914219179637,3.0,,10.0,
"CBc(5,0.01,0.0005,2)",,,0.0005,2,,True,0.33250275185131895,4.421455567126506,3.8936034569460856,58339,23.81497422072105,2.8433939062298514,2.041085227782534,5.0,0.01,,
"BB(7,0.25,2,0)",,,,2,0.0,False,0.3310463553714208,4.404398240103446,3.876546129923026,100865,23.723116527580565,2.8433939062298514,1.1759835685114046,7.0,,,0.25
"CBc(5,0.02,0.00025,0)",,,0.00025,0,,True,0.3302313685789557,4.394853124347249,3.867001014166829,70289,23.671713762104883,2.8433939062298514,1.6838846592002221,5.0,0.02,,
"SRc(5,0,2,0)",,,0.0,2,0.0,True,0.32967986384629167,4.388393913868847,3.860541803688427,80041,23.636929310756774,2.8433939062298514,1.4765513493557536,5.0,,,
"MAc(2,5,0,2,0)",2.0,5.0,0.0,2,0.0,True,0.32868706839219114,4.376766009151122,3.8489138989707015,128597,23.574311815155287,2.8433939062298514,0.9165964919537504,,,,
"CBc(5,0.04,0.0005,2)",,,0.0005,2,,True,0.32754303938489476,4.363367525218392,3.8355154150379716,60025,23.502155732009992,2.8433939062298514,1.9576972704714695,5.0,0.04,,
"RSI(3,20,0,0)",,,,0,0.0,False,0.3267689176185454,4.354299945694602,3.8264478355141818,115292,23.45333040137498,2.8433939062298514,1.0171273983179656,3.0,,20.0,
"CBc(5,0.04,0.00025,1)",,,0.00025,1,,True,0.32672917878702956,4.353835648301044,3.825983538120624,70329,23.4508239977675,2.8433939062298514,1.6672229093096376,5.0,0.04,,
"CBc(5,0.02,0,1)",,,0.0,1,,True,0.32398928144224126,4.3217462500397685,3.7938941398593484,80861,23.278013466426746,2.8433939062298514,1.439384466332765,5.0,0.02,,
"CBc(5,0.075,0.0005,2)",,,0.0005,2,,True,0.3238226654967771,4.319794865184818,3.791942755004398,60035,23.26750468217602,2.8433939062298514,1.9378283236592007,5.0,0.075,,
"CBc(5,0.075,0.00025,1)",,,0.00025,1,,True,0.32346472053726233,4.315602660732031,3.787750550551611,70341,23.244928413484004,2.8433939062298514,1.652302953717178,5.0,0.075,,
"RSI(3,10,1,0)",,,,1,0.0,False,0.32220477510693535,4.300845255260519,3.772993145080099,137588,23.165461261296965,2.8433939062298514,0.8418416308579588,3.0,,10.0,
"MAc(2,3,0,2,0)",2.0,3.0,0.0,2,0.0,True,0.32188672687649045,4.29712083070814,3.76926872052772,151522,23.14540135511117,2.8433939062298514,0.7637637225984071,,,,
"CBc(5,0.01,0,1)",,,0.0,1,,True,0.3212556378669635,4.28973022183668,3.76187811165626,79227,23.105597372211182,2.8433939062298514,1.4581895927026887,5.0,0.01,,
"CBc(5,0.01,0.0005,1)",,,0.0005,1,,True,0.3211399641436308,4.288375471114797,3.760523360934377,58459,23.098301610700513,2.8433939062298514,1.9755984203202683,5.0,0.01,,
